# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Jul  7 02:44:42 CEST 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: chabrier_lognormal_salpeter 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.024066 0.23000 9.38000 0.4275684655 2.3250581301    0.427 -1.740  3.5150  4.821    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-15      0.00 6.832e-01 2.923e-01 4.417e-03 1.191e-03 1.081e-02 -1.000 2.456e-02 9.120 9.988 11.353 8.843
0.024066 0.23000 9.38000 0.4520747662 2.3519009913    0.452 -1.671  3.5210  4.800    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-15      0.00 6.832e-01 2.922e-01 4.417e-03 1.191e-03 1.081e-02 -1.000 2.456e-02 8.948 9.777 11.098 8.648
0.024066 0.23000 9.38000 0.5017289519 2.3992996880    0.502 -1.524  3.5345  4.753    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-15      0.00 6.833e-01 2.921e-01 4.415e-03 1.191e-03 1.080e-02 -1.000 2.455e-02 8.581 9.325 10.546 8.235
0.024066 0.23000 9.38000 0.5239006281 2.4179031568    0.524 -1.455  3.5421  4.732    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-15      0.00 6.855e-01 2.901e-01 4.387e-03 1.183e-03 1.073e-02 -1.000 2.441e-02 8.406 9.103 10.268 8.036
0.024066 0.23000 9.38000 0.5513831377 2.4390564338    0.551 -1.371  3.5511  4.707    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-15      0.00 6.888e-01 2.871e-01 4.343e-03 1.172e-03 1.063e-02 -1.000 2.418e-02 8.198 8.845 9.957 7.801
0.024066 0.23000 9.38000 0.5686991215 2.4514215953    0.568 -1.315  3.5587  4.695    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.62e-15      0.00 6.891e-01 2.867e-01 4.339e-03 1.171e-03 1.062e-02 -1.000 2.415e-02 8.058 8.663 9.733 7.639
0.024066 0.23000 9.38000 0.6010373831 2.4727628783    0.601 -1.215  3.5722  4.673    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.55e-15      0.00 6.896e-01 2.863e-01 4.332e-03 1.169e-03 1.060e-02 -1.000 2.410e-02 7.808 8.357 9.370 7.361
0.024066 0.23000 9.38000 0.6335840225 2.4922212007    0.633 -1.110  3.5894  4.660    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.73e-15      0.00 6.902e-01 2.858e-01 4.325e-03 1.167e-03 1.059e-02 -1.000 2.404e-02 7.545 8.044 8.993 7.080
0.024066 0.23000 9.38000 0.6506915689 2.5017153557    0.651 -1.057  3.5982  4.653    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.44e-15      0.00 6.904e-01 2.855e-01 4.322e-03 1.166e-03 1.058e-02 -1.000 2.401e-02 7.412 7.825 8.660 6.920
0.024066 0.23000 9.38000 0.6677899957 2.5107328447    0.668 -1.003  3.6079  4.649    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.24e-15      0.00 6.907e-01 2.853e-01 4.318e-03 1.165e-03 1.057e-02 -1.000 2.400e-02 7.277 7.640 8.427 6.767
